date	hours	sales	transactions	items
2010-01-10	15	9350.249999999907	179	2716
2010-01-10	16	8428.439999999926	160	2421
2010-01-10	17	8839.619999999913	169	2552
2010-01-10	18	6315.050000000001	131	1885
2010-01-10	19	3936.0100000000048	93	1233
2010-01-10	20	2768.2300000000023	73	838
2010-01-10	21	106.74000000000001	3	32
2010-01-11	9	1857.8100000000013	57	511
2010-01-11	10	3901.010000000001	82	1096
2010-01-11	11	5121.860000000006	102	1421
2010-01-11	12	4808.680000000004	116	1342
2010-01-11	13	5415.980000000009	127	1425
2010-01-11	14	5151.230000000006	124	1396
2010-01-11	15	5712.610000000006	120	1613
2010-01-11	16	6155.529999999972	133	1831
2010-01-11	17	4997.530000000001	141	1601
2010-01-11	18	5594.1500000000015	142	1597
2010-01-11	19	4477.070000000003	130	1395
2010-01-11	20	4275.370000000003	98	1255
2010-01-11	21	3527.550000000004	63	835
2010-01-11	22	55.71	1	15
2010-01-12	8	-4.78	1	-1
2010-01-12	9	1531.0900000000008	54	480
2010-01-12	10	3168.180000000002	81	848
2010-01-12	11	3390.0600000000013	100	928
2010-01-12	12	4942.090000000026	121	1435
2010-01-12	13	4546.140000000003	122	1256
2010-01-12	14	4786.85	112	1358
2010-01-12	15	4709.2800000000025	123	1416
2010-01-12	16	4540.66	115	1420
2010-01-12	17	6096.450000000001	148	1698
2010-01-12	18	5470.540000000002	147	1683
2010-01-12	19	5244.350000000001	116	1564
2010-01-12	20	2454.2700000000023	87	720
2010-01-12	21	3391.850000000002	87	945
2010-01-12	22	113.24	4	36
2010-01-13	8	20.08	3	3
2010-01-13	9	2587.570000000003	69	645
2010-01-13	10	2809.590000000001	65	732
2010-01-13	11	4101.990000000001	96	1067
2010-01-13	12	4760.939999999999	134	1419
2010-01-13	13	5037.770000000003	104	1365
2010-01-13	14	5716.230000000008	124	1483
2010-01-13	15	3578.570000000002	97	1055
2010-01-13	16	4522.6500000000015	131	1347
2010-01-13	17	4673.440000000003	128	1370
2010-01-13	18	5340.740000000003	160	1657
2010-01-13	19	3013.250000000002	100	894
2010-01-13	20	2756.910000000002	87	855
2010-01-13	21	2813.2000000000025	81	844
2010-01-13	22	213.54	4	59
2010-01-14	8	5.97	2	3
2010-01-14	9	1907.2800000000009	67	506
2010-01-14	10	3581.5700000000033	76	1040
2010-01-14	11	4611.93	107	1195
2010-01-14	12	4003.9900000000034	110	1065
2010-01-14	13	5558.930000000003	125	1630
2010-01-14	14	4941.67	146	1417
2010-01-14	15	4215.790000000001	120	1230
2010-01-14	16	5812.5400000000045	140	1697
2010-01-14	17	4498.660000000002	136	1393
2010-01-14	18	4365.9500000000035	119	1255
2010-01-14	19	4059.860000000002	96	1103
2010-01-14	20	3660.510000000002	90	943
2010-01-14	21	1859.2100000000014	65	555
2010-01-14	22	49.63	3	16
2010-01-15	8	9.97	2	4
2010-01-15	9	2689.560000000001	61	638
2010-01-15	10	4297.2699999999995	96	1253
2010-01-15	11	4969.450000000001	90	1103
2010-01-15	12	4580.11	116	1219
2010-01-15	13	5360.150000000003	138	1490
2010-01-15	14	6115.060000000012	141	1692
2010-01-15	15	5411.250000000007	133	1489
2010-01-15	16	5868.6700000000055	153	1685
2010-01-15	17	5496.48	134	1524
2010-01-15	18	4789.799999999999	117	1367
2010-01-15	19	4863.810000000006	107	1305
2010-01-15	20	2978.080000000001	84	885
2010-01-15	21	2766.040000000004	64	806
2010-01-15	22	148.82	5	47
2010-01-16	8	-8.89	1	-1
2010-01-16	9	4061.2300000000037	85	1069
2010-01-16	10	4764.769999999999	103	1390
2010-01-16	11	7053.549999999981	143	1839
2010-01-16	12	6454.070000000001	132	1671
2010-01-16	13	8845.689999999919	168	2364
2010-01-16	14	6803.909999999988	136	1885
2010-01-16	15	8040.069999999929	173	2268
2010-01-16	16	8727.859999999928	178	2445
2010-01-16	17	8162.509999999889	173	2382
2010-01-16	18	6954.989999999987	162	2083
2010-01-16	19	3042.920000000002	74	817
2010-01-16	20	3028.740000000002	73	856
2010-01-16	21	33.32	2	17
2010-01-17	8	5.51	1	4
2010-01-17	9	3371.1200000000017	69	957
2010-01-17	10	6912.979999999989	124	1798
2010-01-17	11	8098.809999999935	173	2378
2010-01-17	12	5601.590000000004	141	1650
2010-01-17	13	6594.979999999998	140	1989
2010-01-17	14	6429.380000000003	141	1903
2010-01-17	15	7371.349999999962	154	2057
2010-01-17	16	8078.45999999994	174	2283
2010-01-17	17	6727.929999999991	151	1961
2010-01-17	18	7177.319999999967	150	1962
2010-01-17	19	4211.7400000000025	97	1236
2010-01-17	20	2821.6100000000006	59	846
2010-01-17	21	50.57	2	15
2010-01-18	8	49.38	1	10
2010-01-18	9	1878.0900000000024	54	529
2010-01-18	10	3288.430000000002	80	908
2010-01-18	11	6314.1799999999985	139	1770
2010-01-18	12	5059.51	119	1477
2010-01-18	13	6476.439999999993	138	1788
2010-01-18	14	6713.959999999988	166	1992
2010-01-18	15	6532.780000000002	161	1880
2010-01-18	16	6463.710000000001	136	1890
2010-01-18	17	6186.58	138	1832
2010-01-18	18	5929.840000000004	134	1815
2010-01-18	19	3874.0100000000034	105	1242
2010-01-18	20	2417.830000000004	67	731
2010-01-18	21	2562.2500000000023	59	740
2010-01-19	9	1281.7500000000002	40	368
2010-01-19	10	3605.5099999999993	80	1035
2010-01-19	11	3906.1500000000033	84	1183
2010-01-19	12	4404.060000000001	109	1215
2010-01-19	13	4281.040000000001	116	1167
2010-01-19	14	6042.610000000006	134	1539
2010-01-19	15	4287.5300000000025	125	1284
2010-01-19	16	5045.140000000002	142	1559
2010-01-19	17	5945.900000000003	148	1743
2010-01-19	18	5331.330000000004	149	1551
2010-01-19	19	4578.250000000002	113	1341
2010-01-19	20	3477.1400000000017	106	1048
2010-01-19	21	2251.2700000000013	64	674
2010-01-19	22	143.31000000000003	6	38
2010-01-20	8	17.04	2	4
2010-01-20	9	1918.9800000000012	57	496
2010-01-20	10	3389.780000000003	82	891
2010-01-20	11	4994.910000000003	97	1293
2010-01-20	12	5012.370000000001	136	1408
2010-01-20	13	5056.910000000002	142	1491
2010-01-20	14	4439.860000000001	111	1247
2010-01-20	15	5629.060000000004	137	1498
2010-01-20	16	4109.390000000002	113	1111
2010-01-20	17	5542.530000000004	140	1557
2010-01-20	18	4453.970000000001	149	1337
2010-01-20	19	4045.6300000000037	117	1186
2010-01-20	20	3500.300000000004	110	1034
2010-01-20	21	3089.360000000002	78	917
2010-01-20	22	344.35	4	65
2010-01-21	9	938.3100000000002	41	294
2010-01-21	10	2942.3600000000015	66	780
2010-01-21	11	4269.260000000005	101	1108
2010-01-21	12	4308.220000000002	119	1226
2010-01-21	13	4359.860000000001	129	1176
2010-01-21	14	4315.940000000001	107	1186
2010-01-21	15	4314.500000000003	99	1116
2010-01-21	16	3789.5400000000045	111	1091
2010-01-21	17	4429.270000000002	123	1269
2010-01-21	18	4583.460000000001	128	1309
2010-01-21	19	4686.990000000003	119	1336
2010-01-21	20	2892.8800000000015	83	803
2010-01-21	21	2248.610000000003	72	680
2010-01-21	22	251.42000000000002	6	98
2010-01-22	8	2.29	1	1
2010-01-22	9	2746.0600000000013	78	758
2010-01-22	10	3499.3500000000013	84	981
2010-01-22	11	5944.6700000000055	123	1441
2010-01-22	12	7053.729999999974	144	1949
2010-01-22	13	5017.260000000001	140	1419
2010-01-22	14	5173.969999999999	125	1377
2010-01-22	15	5515.370000000006	139	1547
2010-01-22	16	5582.550000000005	116	1621
2010-01-22	17	5247.1500000000015	144	1467
2010-01-22	18	4752.900000000001	128	1388
2010-01-22	19	3852.7000000000025	97	1143
2010-01-22	20	1959.330000000001	57	495
2010-01-22	21	2377.6500000000033	57	646
2010-01-22	22	7.5600000000000005	1	2
2010-01-23	9	2222.9300000000017	53	649
2010-01-23	10	5646.440000000008	108	1539
2010-01-23	11	6497.719999999998	129	1969
2010-01-23	12	9578.869999999912	176	2632
2010-01-23	13	8500.599999999935	161	2340
2010-01-23	14	8438.489999999943	184	2211
2010-01-23	15	8242.529999999932	167	2491
2010-01-23	16	9002.229999999912	186	2620
2010-01-23	17	7593.669999999956	164	2244
2010-01-23	18	4962.87	126	1425
2010-01-23	19	4366.670000000003	108	1270
2010-01-23	20	2066.750000000002	63	615
2010-01-23	21	186.02000000000004	5	64
2010-01-24	9	3210.7300000000005	64	864
2010-01-24	10	5677.150000000003	113	1673
2010-01-24	11	8573.149999999921	146	2394
2010-01-24	12	9541.429999999913	197	2676
2010-01-24	13	9234.0999999999	191	2715
2010-01-24	14	9396.259999999915	172	2660
2010-01-24	15	9150.289999999906	184	2592
2010-01-24	16	8792.969999999925	188	2488
2010-01-24	17	6193.5300000000025	162	1868
2010-01-24	18	4691.700000000005	104	1371
2010-01-24	19	3561.9900000000025	74	976
2010-01-24	20	2387.2900000000022	58	781
2010-01-24	21	131.89000000000001	1	34
2010-01-25	8	33.34	2	10
2010-01-25	9	1135.63	32	329
2010-01-25	10	3664.220000000002	83	1056
2010-01-25	11	3960.2200000000016	91	1130
2010-01-25	12	3832.300000000003	93	1174
2010-01-25	13	4832.510000000001	113	1333
2010-01-25	14	5012.0800000000045	124	1366
2010-01-25	15	3537.410000000004	101	1037
2010-01-25	16	5562.7500000000055	137	1650
2010-01-25	17	5255.370000000001	135	1563
2010-01-25	18	4737.73	126	1408
2010-01-25	19	4346.710000000001	114	1354
2010-01-25	20	3635.8600000000015	91	967
2010-01-25	21	2107.130000000002	54	610
2010-01-25	22	30.130000000000003	3	7
2010-01-26	9	1682.420000000001	57	435
2010-01-26	10	1374.3900000000003	53	428
2010-01-26	11	4232.370000000001	89	1152
2010-01-26	12	4646.280000000001	112	1368
2010-01-26	13	4295.890000000003	130	1211
2010-01-26	14	4792.710000000003	118	1313
2010-01-26	15	4733.850000000001	104	1377
